Date,Open,High,Low,Close,Adj Close,Volume
2016-05-27,26000.000000,26020.000000,25460.000000,25640.000000,21993.404297,13744550
2016-05-30,25940.000000,25940.000000,25480.000000,25600.000000,21959.097656,10315350
2016-05-31,25600.000000,26000.000000,25360.000000,25840.000000,22164.960938,62527700
2016-06-01,25960.000000,26820.000000,25900.000000,26660.000000,22868.341797,23504000
2016-06-02,27000.000000,27440.000000,26920.000000,27300.000000,23417.314453,23806950
2016-06-03,27400.000000,27580.000000,27280.000000,27540.000000,23623.177734,17066200
2016-06-07,27720.000000,28040.000000,27600.000000,27960.000000,23983.445313,23142150
2016-06-08,28380.000000,28380.000000,27780.000000,28120.000000,24120.695313,18808100
2016-06-09,28160.000000,28600.000000,28120.000000,28600.000000,24532.423828,25768750
2016-06-10,28480.000000,28500.000000,28080.000000,28120.000000,24120.695313,14484050
2016-06-13,27920.000000,27920.000000,27240.000000,27420.000000,23520.244141,15248300
2016-06-14,27420.000000,27720.000000,27380.000000,27600.000000,23674.650391,12273050
2016-06-15,27700.000000,28320.000000,27660.000000,28260.000000,24240.779297,15334450
2016-06-16,28260.000000,28340.000000,27900.000000,28180.000000,24172.154297,14621550
2016-06-17,28200.000000,28700.000000,28200.000000,28520.000000,24463.802734,16419700
2016-06-20,28540.000000,28960.000000,28520.000000,28620.000000,24549.582031,13515800
2016-06-21,28640.000000,28980.000000,28520.000000,28960.000000,24841.226563,10020550
2016-06-22,28920.000000,29000.000000,28620.000000,28900.000000,24789.757813,8948250
2016-06-23,28880.000000,28900.000000,28540.000000,28600.000000,24532.423828,11256300
2016-06-24,28900.000000,28900.000000,27200.000000,28000.000000,24017.757813,20552600
2016-06-27,28000.000000,28100.000000,27700.000000,27960.000000,23983.445313,11839000
2016-06-28,27800.000000,28080.000000,27580.000000,27980.000000,24000.603516,10718950
2016-06-29,28160.000000,28240.000000,27820.000000,27920.000000,23966.269531,10527050
2016-06-30,28160.000000,28900.000000,27940.000000,28500.000000,24464.136719,13671700
2016-07-01,28540.000000,29580.000000,28540.000000,29320.000000,25168.013672,14393600
2016-07-04,29280.000000,29480.000000,29020.000000,29320.000000,25168.013672,7995000
